IP_LOC,Method_LOC,File_LOC,Var_Type,Var_Property,Var_Init,Def_C_IP,Def_C_Other,Def_C_If,Def_C_For,Def_C_While,Def_V_IP,Def_V_Other,Def_V_If,Def_V_For,Def_V_While,Def_Lib_IP,Def_Lib_Other,Def_Lib_If,Def_Lib_For,Def_Lib_While,Def_User_IP,Def_User_Other,Def_User_If,Def_User_For,Def_User_While,Use_V_IP,Use_V_Other,Use_V_If,Use_V_For,Use_V_While,Use_Lib_IP,Use_Lib_Other,Use_Lib_If,Use_Lib_For,Use_Lib_While,Use_User_IP,Use_User_Other,Use_User_If,Use_User_For,Use_User_While,Use_If_IP,Use_If_Other,Use_For_IP,Use_For_Other,Use_While_IP,Use_While_Other,Defect
544,94,698,0,0,0,2,8,4,0,4,1,2,3,0,3,3,2,2,0,2,3,1,2,0,1,0,8,7,0,7,2,8,8,1,7,2,2,4,0,2,0,10,0,2,0,1,FALSE
58,79,307,0,1,0,0,0,0,0,0,0,4,2,0,0,1,0,0,0,0,1,0,0,0,0,0,7,2,0,0,1,1,2,0,0,0,3,1,0,0,0,6,0,0,0,0,FALSE
211,360,2148,0,1,1,1,9,1,5,0,1,6,2,1,0,0,0,0,0,0,0,0,0,0,0,1,10,7,4,0,0,0,0,0,0,0,1,1,0,0,0,10,0,4,0,0,TRUE
200,334,2148,0,1,1,1,9,1,5,0,1,6,2,1,0,0,0,0,0,0,0,0,0,0,0,1,9,6,4,0,0,0,0,0,0,0,2,2,0,0,0,10,0,4,0,0,TRUE
179,344,2148,0,1,1,1,9,1,5,0,1,6,2,1,0,0,0,0,0,0,0,1,0,0,0,1,9,6,4,0,0,0,0,0,0,0,3,2,0,0,0,11,0,4,0,0,TRUE
197,462,2148,0,1,1,1,9,1,5,0,1,6,2,1,0,0,0,0,0,0,0,0,0,0,0,1,9,6,4,0,0,0,0,0,0,0,1,1,0,0,0,6,0,4,0,0,TRUE
226,462,2148,0,1,1,0,4,0,2,0,1,4,0,0,0,0,0,0,0,0,0,1,0,0,0,2,10,5,7,0,0,0,0,0,0,0,2,1,0,0,0,3,0,1,0,0,TRUE
123,187,1462,0,1,1,0,6,1,3,0,2,6,4,3,0,0,0,0,0,0,0,2,1,1,0,0,13,10,9,0,0,0,0,0,0,0,12,11,9,0,0,8,0,2,0,0,TRUE
9,21,149,1,1,0,0,4,0,2,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,2,0,0,FALSE
12,21,149,1,1,0,0,12,0,6,0,1,3,0,1,0,1,0,0,0,0,2,0,0,1,0,0,4,0,4,0,1,0,0,1,0,0,10,0,9,0,0,0,0,6,0,0,FALSE
15,21,149,1,1,0,0,12,0,6,0,1,3,0,1,0,1,0,0,0,0,2,0,0,1,0,0,4,0,4,0,2,0,0,2,0,0,10,0,9,0,0,0,0,6,0,0,FALSE
3,17,227,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE
8,17,227,1,1,0,0,0,0,0,0,1,0,0,0,0,4,0,0,0,0,5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,FALSE
10,17,227,1,1,0,1,0,0,0,0,1,0,0,0,0,4,0,0,0,0,5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,FALSE
3,8,225,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE
27,162,1346,1,1,2,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,1,0,0,1,0,0,0,0,0,TRUE
