IP_LOC,Method_LOC,File_LOC,Var_Type,Var_Property,Var_Init,Def_C_IP,Def_C_Other,Def_C_If,Def_C_For,Def_C_While,Def_V_IP,Def_V_Other,Def_V_If,Def_V_For,Def_V_While,Def_Lib_IP,Def_Lib_Other,Def_Lib_If,Def_Lib_For,Def_Lib_While,Def_User_IP,Def_User_Other,Def_User_If,Def_User_For,Def_User_While,Use_V_IP,Use_V_Other,Use_V_If,Use_V_For,Use_V_While,Use_Lib_IP,Use_Lib_Other,Use_Lib_If,Use_Lib_For,Use_Lib_While,Use_User_IP,Use_User_Other,Use_User_If,Use_User_For,Use_User_While,Use_If_IP,Use_If_Other,Use_For_IP,Use_For_Other,Use_While_IP,Use_While_Other,Defect
27,51,423,0,1,0,0,2,0,1,0,8,17,0,21,0,0,3,0,3,0,0,0,0,0,0,8,29,0,23,0,0,15,0,15,0,0,0,0,0,0,0,8,0,1,0,0,FALSE
22,51,423,0,1,0,0,2,0,1,0,3,7,0,6,0,0,3,0,3,0,0,0,0,0,0,3,14,0,13,0,0,15,0,15,0,0,0,0,0,0,0,8,0,1,0,0,FALSE
43,52,423,0,1,0,0,2,0,1,0,4,8,5,3,0,0,3,0,3,0,0,0,0,0,0,3,13,7,6,0,0,15,0,15,0,0,0,0,0,0,0,9,0,1,0,0,FALSE
47,52,423,0,1,0,0,2,0,1,0,6,14,13,3,0,0,3,0,3,0,0,0,0,0,0,9,19,19,6,0,0,15,0,15,0,0,0,0,0,0,0,9,0,1,0,0,FALSE
27,52,423,0,1,0,0,2,0,1,0,8,14,0,18,0,0,3,0,3,0,0,0,0,0,0,7,26,0,29,0,0,15,0,15,0,0,0,0,0,0,0,8,0,1,0,0,FALSE
44,52,423,0,1,0,0,2,0,1,0,4,10,7,3,0,0,3,0,3,0,0,0,0,0,0,6,13,10,6,0,0,15,0,15,0,0,0,0,0,0,0,9,0,1,0,0,FALSE
26,52,423,0,1,0,0,2,0,1,0,6,13,0,15,0,0,3,0,3,0,0,0,0,0,0,7,22,0,25,0,0,15,0,15,0,0,0,0,0,0,0,8,0,1,0,0,FALSE
46,52,423,0,1,0,0,2,0,1,0,6,12,11,3,0,0,3,0,3,0,0,0,0,0,0,6,19,16,6,0,0,15,0,15,0,0,0,0,0,0,0,9,0,1,0,0,FALSE
41,52,423,0,1,0,0,2,0,1,0,2,6,1,3,0,0,3,0,3,0,0,0,0,0,0,3,7,3,6,0,0,15,0,15,0,0,0,0,0,0,0,9,0,1,0,0,FALSE
42,52,423,0,1,0,0,2,0,1,0,4,6,3,3,0,0,3,0,3,0,0,0,0,0,0,3,9,3,6,0,0,15,0,15,0,0,0,0,0,0,0,9,0,1,0,0,FALSE
