IP_LOC,Method_LOC,Var_Init,Def_C,Def_V,Def_Null,Def_Lib,Def_User,Def_If,Def_For,Def_While,Use_V,Use_Lib,Use_User,Use_If,Use_For,Use_While,If_Con,For_Con,While_Con,Defect
12,24,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,TRUE
14,24,0,0,0,0,0,1,0,0,0,0,2,1,0,0,0,0,0,0,TRUE
233,824,3,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,1,0,FALSE
15,219,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,TRUE
41,219,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,TRUE
1,219,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,1,0,0,FALSE
4,56,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,FALSE
5,56,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,TRUE
1,56,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,TRUE
1,56,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,TRUE
8,56,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,TRUE
8,56,1,0,2,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,TRUE
1,56,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,TRUE
21,56,1,0,2,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,TRUE
22,56,1,0,0,0,0,0,0,0,0,1,0,2,0,0,0,1,0,0,TRUE
22,56,1,0,2,0,0,0,0,0,0,1,0,4,0,0,0,0,0,0,TRUE
28,56,1,0,2,0,0,0,0,0,0,1,0,5,0,0,0,0,0,0,TRUE
29,56,1,0,0,0,0,0,0,0,0,1,0,3,0,0,0,1,0,0,TRUE
29,56,1,0,2,0,0,0,0,0,0,1,0,6,0,0,0,0,0,0,TRUE
35,56,1,0,2,0,0,0,0,0,0,1,0,7,0,0,0,0,0,0,TRUE
36,56,1,0,0,0,0,0,0,0,0,1,0,4,0,0,0,1,0,0,TRUE
36,56,1,0,2,0,0,0,0,0,0,1,0,8,0,0,0,0,0,0,TRUE
13,133,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,TRUE
17,133,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,TRUE
43,133,1,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,TRUE
57,133,1,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,TRUE
60,133,1,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,TRUE
75,133,1,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,TRUE
6,74,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,TRUE
