total_loc,unique_operands,unique_operators,total_operands,total_operators,halstead_length,halstead_volume,halstead_level,halstead_difficulty,halstead_effort,halstead_time,branch_count,decision_count,call_pairs,condition_count,cyclomatic_complexity,cyclomatic_density,decision_density,formal_parameters,Defect
317,126,32,570,725,1295,6556,0.01,100,655600,36422.22,90,45,40,42,38,0.14,1.07,7,TRUE
317,126,32,570,725,1295,6556,0.01,100,655600,36422.22,90,45,40,42,38,0.14,1.07,7,TRUE
317,126,32,570,725,1295,6556,0.01,100,655600,36422.22,90,45,40,42,38,0.14,1.07,7,TRUE
317,126,32,570,725,1295,6556,0.01,100,655600,36422.22,90,45,40,42,38,0.14,1.07,7,TRUE
542,136,31,789,1139,1928,9867,0.01,100,986700,54816.67,168,84,48,66,80,0.18,1.27,3,TRUE
542,136,31,789,1139,1928,9867,0.01,100,986700,54816.67,168,84,48,66,80,0.18,1.27,3,TRUE
542,136,31,789,1139,1928,9867,0.01,100,986700,54816.67,168,84,48,66,80,0.18,1.27,3,TRUE
542,136,31,789,1139,1928,9867,0.01,100,986700,54816.67,168,84,48,66,80,0.18,1.27,3,TRUE
542,136,31,789,1139,1928,9867,0.01,100,986700,54816.67,168,84,48,66,80,0.18,1.27,3,TRUE
542,136,31,789,1139,1928,9867,0.01,100,986700,54816.67,168,84,48,66,80,0.18,1.27,3,TRUE
542,136,31,789,1139,1928,9867,0.01,100,986700,54816.67,168,84,48,66,80,0.18,1.27,3,TRUE
542,136,31,789,1139,1928,9867,0.01,100,986700,54816.67,168,84,48,66,80,0.18,1.27,3,TRUE
542,136,31,789,1139,1928,9867,0.01,100,986700,54816.67,168,84,48,66,80,0.18,1.27,3,TRUE
542,136,31,789,1139,1928,9867,0.01,100,986700,54816.67,168,84,48,66,80,0.18,1.27,3,TRUE
542,136,31,789,1139,1928,9867,0.01,100,986700,54816.67,168,84,48,66,80,0.18,1.27,3,TRUE
542,136,31,789,1139,1928,9867,0.01,100,986700,54816.67,168,84,48,66,80,0.18,1.27,3,TRUE
542,136,31,789,1139,1928,9867,0.01,100,986700,54816.67,168,84,48,66,80,0.18,1.27,3,TRUE
542,136,31,789,1139,1928,9867,0.01,100,986700,54816.67,168,84,48,66,80,0.18,1.27,3,TRUE
542,136,31,789,1139,1928,9867,0.01,100,986700,54816.67,168,84,48,66,80,0.18,1.27,3,FALSE
542,136,31,789,1139,1928,9867,0.01,100,986700,54816.67,168,84,48,66,80,0.18,1.27,3,TRUE
542,136,31,789,1139,1928,9867,0.01,100,986700,54816.67,168,84,48,66,80,0.18,1.27,3,TRUE
542,136,31,789,1139,1928,9867,0.01,100,986700,54816.67,168,84,48,66,80,0.18,1.27,3,TRUE
542,136,31,789,1139,1928,9867,0.01,100,986700,54816.67,168,84,48,66,80,0.18,1.27,3,TRUE
542,136,31,789,1139,1928,9867,0.01,100,986700,54816.67,168,84,48,66,80,0.18,1.27,3,TRUE
542,136,31,789,1139,1928,9867,0.01,100,986700,54816.67,168,84,48,66,80,0.18,1.27,3,TRUE
542,136,31,789,1139,1928,9867,0.01,100,986700,54816.67,168,84,48,66,80,0.18,1.27,3,TRUE
542,136,31,789,1139,1928,9867,0.01,100,986700,54816.67,168,84,48,66,80,0.18,1.27,3,TRUE
542,136,31,789,1139,1928,9867,0.01,100,986700,54816.67,168,84,48,66,80,0.18,1.27,3,TRUE
542,136,31,789,1139,1928,9867,0.01,100,986700,54816.67,168,84,48,66,80,0.18,1.27,3,TRUE
542,136,31,789,1139,1928,9867,0.01,100,986700,54816.67,168,84,48,66,80,0.18,1.27,3,FALSE
542,136,31,789,1139,1928,9867,0.01,100,986700,54816.67,168,84,48,66,80,0.18,1.27,3,FALSE
102,47,24,144,212,356,1517,0.03,33.33,50566.67,2809.26,32,16,10,12,17,0.21,1.33,3,TRUE
102,47,24,144,212,356,1517,0.03,33.33,50566.67,2809.26,32,16,10,12,17,0.21,1.33,3,FALSE
102,47,24,144,212,356,1517,0.03,33.33,50566.67,2809.26,32,16,10,12,17,0.21,1.33,3,FALSE
102,47,24,144,212,356,1517,0.03,33.33,50566.67,2809.26,32,16,10,12,17,0.21,1.33,3,TRUE
102,47,24,144,212,356,1517,0.03,33.33,50566.67,2809.26,32,16,10,12,17,0.21,1.33,3,TRUE
46,36,16,90,110,200,790,0.05,20,15800,877.78,4,2,5,2,3,0.08,1,5,TRUE
46,36,21,87,118,205,828,0.04,25,20700,1150,14,7,3,5,8,0.21,1.4,5,FALSE
203,86,31,345,512,857,4081,0.02,50,204050,11336.11,48,24,19,22,24,0.14,1.09,1,TRUE
203,86,31,345,512,857,4081,0.02,50,204050,11336.11,48,24,19,22,24,0.14,1.09,1,TRUE
203,86,31,345,512,857,4081,0.02,50,204050,11336.11,48,24,19,22,24,0.14,1.09,1,TRUE
203,86,31,345,512,857,4081,0.02,50,204050,11336.11,48,24,19,22,24,0.14,1.09,1,TRUE
203,86,31,345,512,857,4081,0.02,50,204050,11336.11,48,24,19,22,24,0.14,1.09,1,TRUE
203,86,31,345,512,857,4081,0.02,50,204050,11336.11,48,24,19,22,24,0.14,1.09,1,TRUE
49,33,20,73,103,176,698,0.05,20,13960,775.56,10,5,4,4,6,0.14,1.25,5,TRUE
37,27,17,60,87,147,556,0.05,20,11120,617.78,10,5,4,4,6,0.19,1.25,3,FALSE
37,27,17,60,87,147,556,0.05,20,11120,617.78,10,5,4,4,6,0.19,1.25,3,TRUE
37,27,17,60,87,147,556,0.05,20,11120,617.78,10,5,4,4,6,0.19,1.25,3,FALSE
37,27,17,60,87,147,556,0.05,20,11120,617.78,10,5,4,4,6,0.19,1.25,3,FALSE
212,79,21,445,633,1078,4964,0.02,50,248200,13788.89,80,40,26,39,41,0.21,1.03,2,TRUE
110,54,21,171,241,412,1778,0.03,33.33,59266.67,3292.59,44,22,9,21,19,0.2,1.05,4,TRUE
110,54,21,171,241,412,1778,0.03,33.33,59266.67,3292.59,44,22,9,21,19,0.2,1.05,4,TRUE
